x,y,z
207.041,142.444,0
215.076,141.138,0
222.764,141.55,0
226.172,142.354,0
229.76,143.562,0
232.321,144.425,0
235.889,145.203,0
234.034,154.87,0
232.138,154.881,0
230.725,154.585,0
228.958,153.882,0
227.072,152.795,0
224.231,150.749,0
220.867,148.271,0
218.897,147.065,0
216.078,145.901,0
222.057,152.926,0
218.738,150.276,0
216.994,149.133,0
215.366,148.26,0
212.988,147.28,0
209.964,146.398,0
205.815,145.708,0
196.845,146.75,0
194.22,148.305,0
191.621,151.27,0
190.285,153.8,0
188.787,155.625,0
187.168,156.117,0
184.304,155.277,0
181.846,152.877,0
178.433,144.915,0
179.468,148.146,0
180.417,150.198,0
182.606,153.439,0
184.204,155.033,0
186.061,156.352,0
190.097,157.878,0
193.748,157.927,0
195.113,157.5,0
196.608,156.508,0
198.246,153.103,0
198.246,153.103,5
187.767,160.014,5
187.767,160.014,0
187.767,160.014,0
188.682,161.857,0
189.346,162.803,0
190.284,163.848,0
191.146,164.613,0
193.227,165.986,0
195.874,167.138,0
199.671,168.108,0
203.784,168.588,0
207.933,168.664,0
215.982,167.97,0
217.595,167.72,0
222.709,166.69,0
222.941,166.875,0
217.35,167.5,0
215.718,167.751,0
207.95,168.763,0
204.007,168.843,0
200.006,168.348,0
196.107,167.056,0
193.92,165.863,0
193.92,165.863,5
212.05,157.078,5
212.05,157.078,0
212.05,157.078,0
213.72,154.715,0
214.455,152.995,0
216.61,152.777,0
220.267,153.951,0
224.842,155.759,0
228.059,156.708,0
233.997,157.016,0
233.991,157.022,0
228.062,156.775,0
224.917,155.485,0
219.015,154.215,0
215.921,152.796,0
214.561,154.063,0
213.427,155.603,0
211.768,156.736,0
210.521,156.434,0
210.817,153.873,0
210.817,153.873,5
210.151,192.866,5
210.151,192.866,0
210.151,192.866,0
211.501,195.286,0
212.335,197.112,0
214.105,199.78,0
215.943,201.739,0
225.843,211.372,0
227.068,213.291,0
228.006,215.972,0
228.051,217.832,0
227.189,220.663,0
225.64,223.559,0
224.111,226.212,0
223.071,228.385,0
222.096,232.138,0
221.589,236.613,0
221.372,238.122,0
220.93,240.059,0
220.93,240.059,5
223.714,227.424,5
223.714,227.424,0
223.714,227.424,0
226.028,224.682,0
227.556,221.69,0
228.129,218.751,0
227.905,216.006,0
226.623,212.431,0
224.758,209.397,0
217.362,201.487,0
213.243,197.787,0
211.683,196.346,0
205.069,197.802,0
205.836,198.306,0
208.965,199.947,0
213.721,202.705,0
216.185,205.511,0
216.489,207.699,0
215.923,210.016,0
217.811,215.013,0
217.67,215.11,0
215.704,211.751,0
215.532,209.14,0
215.489,207.765,0
215.167,206.142,0
213.057,203.603,0
211.4,202.495,0
207.064,199.943,0
202.917,196.05,0
202.917,196.05,5
194.002,203.203,5
194.002,203.203,0
194.002,203.203,0
192.101,203.911,0
190.748,204.278,0
188.172,204.872,0
186.31,205.389,0
184.51,206.113,0
182.945,207.008,0
181.339,208.291,0
179.874,209.935,0
175.24,207.381,0
177.535,206.264,0
183.215,202.401,0
185.277,201.292,0
190.529,200.762,0
192.038,201.49,0
194.166,203.411,0
194.166,203.411,5
169.954,207.323,5
169.954,207.323,0
169.954,207.323,0
166.163,204.241,0
160.74,202.361,0
154.312,202.84,0
150.789,203.957,0
149.008,203.933,0
147.034,202.344,0
145.913,200.19,0
148.433,203.91,0
150.722,204.32,0
152.629,203.893,0
155.181,203.014,0
159.963,202.113,0
162.381,202.543,0
168.465,207.996,0
168.372,210.922,0
166.941,213.1,0
166.941,213.1,5
162.129,194.075,5
162.129,194.075,0
162.129,194.075,0
164.586,190.758,0
166.032,184.649,0
166.631,182.661,0
167.288,180.683,0
