x,y,z
153.5529,79.8558,1.8000
153.5529,79.8558,0.8000
154.1938,83.1803,0.8000
153.3967,88.7968,0.8000
152.6803,91.7382,0.8000
151.9408,95.8452,0.8000
151.5725,98.3371,0.8000
151.0415,101.5973,0.8000
149.4816,108.2039,0.8000
148.8354,110.1048,0.8000
148.0881,111.9683,0.8000
147.0302,114.3554,0.8000
145.9194,116.7557,0.8000
143.5577,120.9410,0.8000
142.8514,121.9045,0.8000
142.0858,122.8301,0.8000
139.4276,125.7459,0.8000
133.8392,132.7101,0.8000
132.4516,134.2462,0.8000
131.9931,134.7026,0.8000
130.9999,135.5862,0.8000
130.9999,135.5862,0.8000
130.9999,135.5862,1.8000
130.9999,135.5862,1.8000
129.8647,136.1395,1.8000
129.8647,136.1395,0.8000
132.0192,135.0036,0.8000
134.0685,133.3546,0.8000
138.7641,127.5877,0.8000
141.6385,123.8006,0.8000
142.7291,122.3046,0.8000
145.3474,118.1887,0.8000
146.5835,115.8277,0.8000
147.6349,113.4245,0.8000
148.1706,111.9550,0.8000
148.7445,110.0636,0.8000
149.2339,108.1594,0.8000
150.2396,104.0213,0.8000
151.4116,99.7163,0.8000
151.7150,98.2932,0.8000
152.0020,95.8660,0.8000
152.5687,91.7212,0.8000
153.4888,88.8181,0.8000
154.1611,83.1685,0.8000
154.1611,83.1685,0.8000
154.1611,83.1685,1.8000
154.1611,83.1685,1.8000
156.5223,83.1472,1.8000
156.5223,83.1472,0.8000
156.3738,87.6850,0.8000
157.5434,88.0838,0.8000
159.2262,87.7994,0.8000
159.2654,85.4109,0.8000
158.6559,83.8645,0.8000
157.6479,81.3016,0.8000
157.6479,81.3016,0.8000
157.6479,81.3016,1.8000
157.6479,81.3016,1.8000
151.7762,82.2235,1.8000
151.7762,82.2235,0.8000
151.7947,78.4411,0.8000
151.2309,76.5440,0.8000
150.4671,74.6819,0.8000
149.0575,71.3224,0.8000
148.4137,69.0515,0.8000
148.0114,66.5615,0.8000
147.4068,63.3626,0.8000
143.9877,58.1600,0.8000
143.6574,56.6550,0.8000
143.5315,53.3437,0.8000
142.4225,49.8317,0.8000
141.3848,48.0490,0.8000
139.9794,45.8056,0.8000
139.2910,43.5248,0.8000
139.7828,39.6774,0.8000
139.3830,38.3069,0.8000
138.1167,37.3219,0.8000
138.1167,37.3219,0.8000
138.1167,37.3219,1.8000
138.1167,37.3219,1.8000
139.7555,38.2447,1.8000
139.7555,38.2447,0.8000
139.7180,38.7843,0.8000
139.5654,39.7182,0.8000
139.3093,43.4772,0.8000
139.9806,45.3508,0.8000
141.3462,47.6288,0.8000
142.4879,49.7703,0.8000
143.4721,53.3754,0.8000
143.6266,56.6697,0.8000
144.0715,58.1023,0.8000
144.7344,59.0648,0.8000
146.3875,60.9955,0.8000
147.3088,62.8991,0.8000
148.0370,66.5464,0.8000
148.5579,69.0425,0.8000
148.8633,71.3456,0.8000
148.8633,71.3456,0.8000
148.8633,71.3456,1.8000
148.8633,71.3456,1.8000
142.3197,68.0395,1.8000
142.3197,68.0395,0.8000
141.4698,67.3360,0.8000
140.2122,66.2912,0.8000
138.0370,64.7263,0.8000
136.2616,63.8073,0.8000
135.0308,63.3622,0.8000
132.8057,62.9531,0.8000
129.4757,63.1746,0.8000
127.3581,63.5597,0.8000
124.3376,64.0416,0.8000
116.1184,64.3611,0.8000
113.8399,64.8227,0.8000
110.7671,66.5629,0.8000
110.7671,66.5629,0.8000
110.7671,66.5629,1.8000
110.7671,66.5629,1.8000
110.7374,66.5208,1.8000
110.7374,66.5208,0.8000
111.4900,65.7602,0.8000
112.6328,65.1039,0.8000
114.1363,64.6667,0.8000
115.6706,64.4707,0.8000
124.4819,64.3200,0.8000
127.3807,63.7373,0.8000
129.2304,62.8689,0.8000
129.2304,62.8689,0.8000
129.2304,62.8689,1.8000
129.2304,62.8689,1.8000
132.7154,62.8504,1.8000
132.7154,62.8504,0.8000
135.3338,63.3008,0.8000
136.8752,63.8876,0.8000
138.0352,64.5388,0.8000
138.5401,64.8709,0.8000
139.1466,65.2910,0.8000
139.6474,65.6382,0.8000
140.7694,66.4136,0.8000
141.9444,67.4488,0.8000
142.1605,68.4033,0.8000
141.2654,68.9301,0.8000
138.8306,68.9358,0.8000
137.3771,68.1500,0.8000
135.1823,68.0191,0.8000
135.1823,68.0191,0.8000
135.1823,68.0191,1.8000
135.1823,68.0191,1.8000
133.3528,67.1134,1.8000
133.3528,67.1134,0.8000
128.6566,67.0624,0.8000
123.8571,68.0683,0.8000
118.9708,68.6806,0.8000
115.2393,68.0135,0.8000
114.8948,67.0945,0.8000
115.3171,66.7018,0.8000
116.8556,65.9752,0.8000
116.8556,65.9752,0.8000
116.8556,65.9752,1.8000
116.8556,65.9752,1.8000
114.9845,68.0286,1.8000
114.9845,68.0286,0.8000
118.9001,68.4000,0.8000
119.8707,68.3395,0.8000
123.8874,67.7848,0.8000
128.6602,67.1677,0.8000
133.2268,67.3624,0.8000
135.2512,67.7423,0.8000
137.3824,68.3131,0.8000
138.9037,68.7208,0.8000
141.0230,69.0884,0.8000
141.0230,69.0884,0.8000
141.0230,69.0884,1.8000
141.0230,69.0884,1.8000
139.9212,73.6561,1.8000
139.9212,73.6561,0.8000
138.7950,73.6613,0.8000
137.9557,73.5214,0.8000
136.9061,73.1893,0.8000
135.7858,72.6757,0.8000
134.0983,71.7089,0.8000
132.1000,70.5381,0.8000
130.9298,69.9682,0.8000
129.2554,69.4182,0.8000
129.2554,69.4182,0.8000
129.2554,69.4182,1.8000
129.2554,69.4182,1.8000
132.8068,72.7375,1.8000
132.8068,72.7375,0.8000
130.8354,71.4854,0.8000
129.7994,70.9453,0.8000
128.8324,70.5329,0.8000
127.4199,70.0698,0.8000
125.6236,69.6531,0.8000
123.1591,69.3270,0.8000
117.8309,69.8194,0.8000
116.2717,70.5541,0.8000
114.7279,71.9551,0.8000
113.9343,73.1505,0.8000
113.0445,74.0128,0.8000
112.0828,74.2453,0.8000
110.3815,73.8484,0.8000
108.9216,72.7144,0.8000
108.9216,72.7144,0.8000
108.9216,72.7144,1.8000
108.9216,72.7144,1.8000
106.8942,68.9524,1.8000
106.8942,68.9524,0.8000
107.5090,70.4789,0.8000
108.0727,71.4486,0.8000
109.3730,72.9799,0.8000
110.3221,73.7331,0.8000
111.4253,74.3563,0.8000
113.8226,75.0773,0.8000
115.9913,75.1005,0.8000
116.8021,74.8988,0.8000
117.6902,74.4300,0.8000
118.6632,72.8212,0.8000
118.6632,72.8212,0.8000
118.6632,72.8212,1.8000
118.6632,72.8212,1.8000
112.4386,76.0867,1.8000
112.4386,76.0867,0.8000
112.9821,76.9574,0.8000
113.3766,77.4044,0.8000
113.9337,77.8982,0.8000
114.4458,78.2596,0.8000
115.6818,78.9084,0.8000
117.2541,79.4528,0.8000
119.5096,79.9110,0.8000
121.9527,80.1378,0.8000
124.4172,80.1737,0.8000
129.1983,79.8459,0.8000
130.1564,79.7277,0.8000
133.1941,79.2411,0.8000
133.1941,79.2411,0.8000
133.1941,79.2411,1.8000
133.1941,79.2411,1.8000
133.3320,79.3285,1.8000
133.3320,79.3285,0.8000
130.0109,79.6237,0.8000
129.0415,79.7424,0.8000
124.4273,80.2205,0.8000
122.0851,80.2583,0.8000
119.7086,80.0244,0.8000
117.3925,79.4140,0.8000
116.0935,78.8503,0.8000
116.0935,78.8503,0.8000
116.0935,78.8503,1.8000
116.0935,78.8503,1.8000
126.8627,74.6994,1.8000
126.8627,74.6994,0.8000
127.8547,73.5829,0.8000
128.2913,72.7702,0.8000
129.5713,72.6671,0.8000
131.7436,73.2219,0.8000
